,City,Cloudiness,Country,Date,Humidity,Lat.,Lng.,Max Temp,Wind Speed
78,olafsvik,88,IS,1580015939,84,64.89,-23.71,33.42,28.27
79,novomykolayivka,75,UA,1580015939,92,47.98,35.91,30.2,4.47
80,padang,95,ID,1580015939,90,-0.95,100.35,76.01,1.57
81,tazovskiy,80,RU,1580015940,97,67.47,78.7,-6.02,6.44
82,gat,0,IL,1580015379,81,31.61,34.76,44.01,2.24
83,biak,25,ID,1580015940,72,-0.91,122.88,84.02,6.33
84,clifton,1,US,1580015712,86,40.86,-74.16,43.0,5.82
85,saint-philippe,90,RE,1580015940,74,-21.36,55.77,84.2,11.41
86,vikulovo,100,RU,1580015940,91,56.82,70.61,17.29,12.71
87,provideniya,0,RU,1580015940,72,64.38,-173.3,-5.12,4.07
88,male,75,MV,1580015763,66,4.17,73.51,84.2,11.41
89,tuatapere,99,NZ,1580015941,58,-46.13,167.68,69.01,11.01
90,namibe,56,AO,1580015941,72,-15.2,12.15,74.61,10.11
91,omboue,9,GA,1580015826,95,-1.57,9.26,76.1,1.9
92,cape town,40,ZA,1580015882,67,-33.93,18.42,64.99,9.17
93,atar,100,MR,1580015941,24,20.52,-13.05,69.84,9.42
94,nikolskoye,100,RU,1580015941,86,59.7,30.79,30.99,4.47
95,buchanan,20,LR,1580015941,94,5.88,-10.05,75.2,3.91
96,chokurdakh,100,RU,1580015942,89,70.63,147.92,-21.73,7.47
97,faanui,82,PF,1580015942,75,-16.48,-151.75,82.58,11.36
98,port alfred,90,ZA,1580015942,89,-33.59,26.89,69.01,8.99
99,georgetown,20,MY,1580015904,52,5.41,100.34,91.4,11.41
100,hermanus,41,ZA,1580015942,80,-34.42,19.23,63.0,10.0
101,ler,49,SS,1580015942,12,8.3,30.14,72.75,12.33
102,talnakh,75,RU,1580015942,77,69.49,88.4,5.0,11.18
103,norman wells,40,CA,1580015942,69,65.28,-126.83,-13.0,10.29
104,manturovo,100,RU,1580015942,88,58.34,44.76,13.82,10.22
105,nchelenge,99,ZM,1580015943,96,-9.35,28.73,68.4,7.67
106,chumikan,0,RU,1580015943,71,54.72,135.31,-3.12,18.9
107,redmond,75,US,1580015313,100,47.67,-122.12,48.2,2.66
108,bandar-e anzali,0,IR,1580015943,93,37.47,49.46,35.6,4.25
109,gerede,55,TR,1580015943,48,40.8,32.2,32.41,4.45
110,bethel,90,US,1580015943,93,41.37,-73.41,44.01,8.05
111,aykhal,100,RU,1580015358,74,66.0,111.5,-25.6,6.71
112,itamarandiba,100,BR,1580015853,99,-17.86,-42.86,65.86,7.16
113,vestmannaeyjar,94,IS,1580015944,75,63.44,-20.27,39.97,27.02
114,jiwani,90,PK,1580015944,68,25.05,61.74,68.88,8.32
115,cherskiy,100,RU,1580015944,96,68.75,161.3,-15.9,3.58
116,estelle,90,US,1580015734,66,29.85,-90.11,55.4,6.93
117,ancud,50,CL,1580015376,100,-41.87,-73.82,55.4,3.36
118,severo-kurilsk,100,RU,1580015944,91,50.68,156.12,18.32,39.88
119,nangwa,100,TZ,1580015945,89,-4.47,35.45,65.55,8.88
120,takayama,75,JP,1580015945,43,36.13,137.25,51.01,11.41
121,sola,52,VU,1580015945,75,-13.88,167.55,83.59,9.98
122,port elizabeth,20,ZA,1580015945,77,-33.92,25.57,68.0,24.16
123,aktau,40,KZ,1580015945,70,43.65,51.2,42.8,20.13
124,sirjan,34,IR,1580015945,65,29.45,55.68,38.48,9.19
125,thompson,90,CA,1580015945,92,55.74,-97.86,17.6,8.05
126,lastoursville,70,GA,1580015946,82,-0.81,12.73,73.51,1.16
127,matagami,90,CA,1580015946,92,49.75,-77.63,28.4,3.36
128,birobidzhan,0,RU,1580015946,78,48.8,132.95,9.73,3.71
129,chongwe,0,ZM,1580015946,93,-15.33,28.68,60.8,1.12
130,san luis,0,AR,1580015946,23,-33.3,-66.34,81.81,16.69
131,vila velha,75,BR,1580015818,100,-20.33,-40.29,71.6,3.36
132,juneau,90,US,1580015757,97,58.3,-134.42,32.0,4.7
133,vineland,75,US,1580015761,93,39.49,-75.03,42.01,4.7
134,liepaja,55,LV,1580015947,93,56.54,21.04,42.8,18.34
135,mahebourg,40,MU,1580015947,78,-20.41,57.7,82.99,14.99
136,naguilian,89,PH,1580015947,69,17.02,121.84,84.52,1.9
137,bonfim,83,BR,1580015947,69,3.08,-59.95,78.1,5.46
138,belmonte,75,BR,1580015947,83,-15.86,-38.88,80.6,10.29
139,ayagoz,100,KZ,1580015947,93,47.97,80.44,22.6,11.32
140,kahului,20,US,1580015947,65,20.89,-156.47,78.8,12.75
141,barrow,75,US,1580015679,75,71.29,-156.79,-20.2,10.29
142,chatham,75,GB,1580015947,93,51.38,0.53,46.99,6.93
143,ohringen,90,DE,1580015948,92,49.2,9.5,33.01,2.48
144,arraial do cabo,0,BR,1580015948,83,-22.97,-42.03,75.2,9.17
145,lamu,100,KE,1580015948,85,-2.27,40.9,81.66,8.37
146,san carlos de bariloche,100,AR,1580015700,93,-41.15,-71.31,50.92,9.13
147,carnarvon,6,AU,1580015948,62,-24.87,113.63,86.0,19.46
148,hailey,90,US,1580015948,86,43.52,-114.32,28.4,6.93
149,sorong,70,ID,1580015948,57,-0.88,131.25,89.8,5.99
150,inirida,78,CO,1580015949,86,3.87,-67.92,77.68,3.94
151,shelburne,90,CA,1580015423,92,44.08,-80.2,35.6,8.05
152,port hardy,90,CA,1580015949,81,50.7,-127.42,46.4,21.92
153,komatipoort,29,ZA,1580015949,93,-25.43,31.95,73.0,8.14
154,isangel,48,VU,1580015949,84,-19.55,169.27,78.08,15.75
155,pahrump,1,US,1580015716,39,36.21,-115.98,50.0,2.57
156,kruisfontein,95,ZA,1580015391,78,-34.0,24.73,62.53,21.52
157,pakxe,40,LA,1580015949,65,15.12,105.78,80.6,9.17
158,port augusta,0,AU,1580015949,60,-32.5,137.77,96.01,16.11
159,korla,16,CN,1580015950,47,41.76,86.15,21.22,3.69
160,berezovyy,1,RU,1580015950,64,51.67,135.7,5.68,6.64
161,altay,100,CN,1580015926,81,47.87,88.12,20.23,4.54
162,acajutla,0,SV,1580015950,89,13.59,-89.83,69.01,1.01
163,odweyne,79,SO,1580015950,60,9.41,45.06,74.03,19.62
164,avarua,100,CK,1580015950,88,-21.21,-159.78,80.6,9.17
165,aswan,0,EG,1580015950,67,24.09,32.91,44.6,11.41
166,chapais,90,CA,1580015950,85,49.78,-74.85,23.0,8.05
167,cayhagan,8,PH,1580015951,75,9.67,122.43,82.15,6.51
168,krasnoye,96,UA,1580015951,92,49.91,24.61,23.0,4.25
169,aras,75,ES,1580015951,100,42.56,-2.36,45.0,4.7
170,jalu,42,LY,1580015951,49,29.03,21.55,49.86,11.03
171,rurrenabaque,24,BO,1580015951,93,-14.44,-67.53,72.39,1.83
172,port hedland,0,AU,1580015932,10,-20.32,118.57,109.4,9.17
173,dwarka,0,IN,1580015867,72,22.24,68.97,72.64,8.23
174,mudbidri,4,IN,1580015951,51,13.08,74.98,80.6,4.7
175,bay roberts,5,CA,1580015659,85,47.6,-53.26,21.0,13.87
176,makakilo city,20,US,1580015736,61,21.35,-158.09,78.8,4.7
177,bredasdorp,69,ZA,1580015952,77,-34.53,20.04,63.0,12.75
178,crib point,60,AU,1580015936,65,-38.35,145.2,78.01,16.98
179,iqaluit,5,CA,1580015952,60,63.75,-68.51,-29.0,12.75
180,gisborne,0,NZ,1580015952,70,-38.65,178.0,80.01,4.0
181,beringovskiy,100,RU,1580015921,85,63.05,179.32,15.48,8.14
182,praia,75,CV,1580015952,78,14.92,-23.51,73.4,17.22
183,risti,90,EE,1580015953,93,59.0,24.06,39.0,14.99
184,turukhansk,99,RU,1580015727,95,65.82,87.98,2.88,6.85
185,mount isa,96,AU,1580015953,83,-20.73,139.5,84.2,5.82
186,pontianak,75,ID,1580015695,62,-0.03,109.33,89.6,3.36
187,liverpool,40,GB,1580015953,100,53.41,-2.98,46.0,10.29
188,sendafa,99,ET,1580015953,80,9.15,39.03,56.64,6.35
189,walvis bay,0,NA,1580015953,93,-22.96,14.51,63.0,5.82
190,kavaratti,20,IN,1580015406,74,10.57,72.64,84.2,2.91
191,acari,100,PE,1580015954,91,-15.43,-74.62,66.58,3.69
192,karimpur,0,IN,1580015954,35,23.97,88.62,70.38,7.11
193,svetlogorsk,51,BY,1580015954,95,52.63,29.73,32.09,8.57
194,guerrero negro,0,MX,1580015766,80,27.98,-114.06,60.73,4.47
195,tiksi,0,RU,1580015914,67,71.69,128.87,-29.25,4.21
196,arlit,10,NE,1580015725,12,18.74,7.39,63.3,8.46
197,miyako,46,JP,1580015954,52,39.64,141.95,33.94,4.74
198,roma,90,US,1580015867,100,43.21,-75.46,36.0,4.7
199,upernavik,93,GL,1580015955,95,72.79,-56.15,-16.62,7.29
200,te anau,85,NZ,1580015734,75,-45.42,167.72,63.28,7.18
201,narsaq,58,GL,1580015955,66,60.92,-46.05,12.2,4.59
202,veinticinco de mayo,50,AR,1580015955,47,-35.43,-60.17,66.51,8.93
203,belaya gora,100,RU,1580015955,98,68.53,146.42,-24.83,1.81
204,xingcheng,1,CN,1580015955,29,40.62,120.72,33.91,5.97
205,yaan,51,NG,1580015955,15,7.38,8.57,65.07,5.21
206,pangody,82,RU,1580015955,99,65.85,74.49,-7.1,3.18
207,lompoc,90,US,1580015941,93,34.64,-120.46,55.99,9.17
208,semporna,75,MY,1580015956,70,4.48,118.61,89.6,9.17
209,axim,26,GH,1580015956,94,4.87,-2.24,72.86,0.45
210,piranhas,95,BR,1580015956,99,-16.43,-51.82,69.17,2.13
211,poum,100,NC,1580015956,81,-20.23,164.02,79.88,20.11
212,huarmey,100,PE,1580015372,71,-10.07,-78.15,73.81,0.76
213,bubaque,96,GW,1580015956,70,11.28,-15.83,77.43,5.32
214,banda aceh,73,ID,1580015841,47,5.56,95.32,88.32,7.72
215,hamilton,90,US,1580015670,86,39.18,-84.53,34.0,9.17
216,naze,75,JP,1580015957,88,28.37,129.48,68.0,19.46
217,poli,75,TZ,1580015957,93,-3.33,36.8,68.0,3.36
218,yellowknife,90,CA,1580015957,85,62.46,-114.35,10.4,6.93
219,tual,81,ID,1580015957,69,-5.67,132.75,84.56,8.79
220,geraldton,7,AU,1580015957,48,-28.77,114.6,86.0,13.87
221,mgachi,4,RU,1580015957,87,51.05,142.27,-4.11,4.59
222,alofi,12,NU,1580015376,83,-19.06,-169.92,82.4,10.29
223,kanashevo,90,RU,1580015957,92,55.22,62.06,17.6,6.71
224,cayenne,97,GF,1580015708,100,4.93,-52.33,75.2,2.24
225,umm lajj,0,SA,1580015958,29,25.02,37.27,52.84,12.97
226,ilulissat,47,GL,1580015369,42,69.22,-51.1,6.8,13.87
227,san javier,82,ES,1580015958,100,37.81,-0.84,48.99,6.93
228,hasaki,75,JP,1580015958,86,35.73,140.83,46.0,5.82
229,dudinka,75,RU,1580015958,77,69.41,86.18,5.0,11.18
230,paralimni,20,CY,1580015959,86,35.04,33.98,42.01,4.7
231,faya,0,SA,1580015959,52,18.39,42.45,44.6,9.17
232,bonavista,35,CA,1580015959,81,48.65,-53.11,21.0,11.01
233,tanout,7,NE,1580015959,17,14.97,8.89,56.37,14.25
234,tilichiki,100,RU,1580015959,85,60.47,166.1,25.83,15.57
235,leningradskiy,93,RU,1580015959,95,69.38,178.42,-14.49,3.38
236,sitka,90,US,1580015364,65,57.05,-135.33,46.4,18.34
237,bengkulu,65,ID,1580015960,62,-3.8,102.27,86.88,6.4
238,wschowa,90,PL,1580015960,92,51.81,16.32,32.0,2.24
239,christchurch,33,NZ,1580015802,72,-43.53,172.63,72.0,14.99
240,contai,0,IN,1580015960,35,21.78,87.75,74.12,5.01
241,hofn,76,IS,1580015960,91,64.25,-15.21,40.62,15.55
242,kavieng,55,PG,1580015960,74,-2.57,150.8,84.49,15.28
243,yar-sale,84,RU,1580015960,98,66.83,70.83,-7.91,4.07
244,horodok,100,UA,1580015960,74,49.16,26.58,32.14,4.12
245,nalut,99,LY,1580015961,24,30.33,10.85,59.81,8.08
246,mayo,90,US,1580015961,70,38.89,-76.51,45.0,6.93
247,bowen,40,AU,1580015915,83,-20.02,148.23,84.0,5.82
248,kichmengskiy gorodok,97,RU,1580015961,92,59.98,45.79,5.2,8.66
249,santa marta,40,CO,1580015961,61,11.24,-74.2,82.4,9.17
250,kentville,90,CA,1580015788,95,45.08,-64.5,36.0,11.41
251,kodiak,90,US,1580015961,61,57.79,-152.41,17.6,12.75
252,bonga,100,ET,1580015961,48,7.28,36.23,66.92,0.31
253,grand gaube,40,MU,1580015961,78,-20.01,57.66,82.99,14.99
254,komsomolskiy,75,UZ,1580015376,74,40.43,71.72,37.4,4.7
255,hailar,68,CN,1580015962,87,49.2,119.7,7.23,6.98
256,felanitx,20,ES,1580015962,100,39.47,3.15,48.0,1.12
257,domoni,87,KM,1580015962,78,-12.26,44.53,80.91,9.75
258,bystryy istok,99,RU,1580015962,81,52.37,84.39,19.15,8.97
259,kindu,100,CD,1580015962,80,-2.95,25.95,73.38,1.72
260,castro,0,BR,1580015932,97,-24.79,-50.01,58.73,1.63
261,honningsvag,100,NO,1580015962,68,70.98,25.97,22.64,20.65
262,saskylakh,98,RU,1580015963,93,71.92,114.08,-20.65,15.55
263,sarakhs,75,IR,1580015963,93,36.54,61.16,35.6,6.93
264,qinzhou,20,CN,1580015864,59,21.95,108.62,60.67,13.82
265,adrar,100,MR,1580015963,23,20.5,-10.07,70.47,11.56
266,port blair,67,IN,1580015963,67,11.67,92.75,78.39,12.8
267,wakema,77,MM,1580015963,24,16.6,95.18,83.77,5.3
268,havoysund,75,NO,1580015963,67,71.0,24.66,21.2,21.92
269,alexandria,40,EG,1580015964,87,31.22,29.96,48.2,4.7
270,sterling,40,US,1580015964,69,39.01,-77.43,43.0,3.36
271,kargil,49,IN,1580015964,77,34.57,76.1,6.15,3.89
272,avera,1,US,1580015964,80,33.19,-82.53,44.6,5.82
273,tabuk,100,PH,1580015964,68,17.42,121.44,83.46,2.15
274,ullapool,100,GB,1580015826,85,57.9,-5.16,48.0,11.99
275,airai,58,TL,1580015964,75,-8.93,125.41,79.2,3.24
276,the valley,75,AI,1580015701,83,18.22,-63.06,79.0,2.24
277,bulungu,62,CD,1580015965,79,-4.55,18.6,75.15,1.1
278,longyearbyen,31,SJ,1580015965,70,78.22,15.64,-0.4,2.24
279,porto novo,39,BJ,1580015744,68,6.5,2.6,71.6,3.36
280,kulhudhuffushi,100,MV,1580015965,64,6.62,73.07,82.8,5.77
281,sioux lookout,90,CA,1580015965,92,50.1,-91.92,23.0,3.36
282,snezhnogorsk,75,RU,1580015965,84,69.19,33.25,6.8,2.24
283,atuona,37,PF,1580015965,76,-9.8,-139.03,81.0,14.47
284,yantarnyy,75,RU,1580015965,86,54.87,19.94,41.0,11.18
285,lukuledi,100,TZ,1580015965,91,-10.57,38.8,72.57,2.73
286,bijie,90,CN,1580015741,64,27.31,105.29,40.26,5.03
287,oeiras do para,97,BR,1580015966,97,-2.0,-49.85,75.18,2.71
288,vinukonda,5,IN,1580015966,45,16.05,79.75,84.51,3.69
289,vung tau,30,VN,1580015769,65,10.35,107.08,82.9,12.91
290,beranang,40,MY,1580015966,62,2.87,101.87,91.0,3.36
291,san cristobal,40,VE,1580015907,83,7.77,-72.22,77.0,2.24
292,kidal,100,ML,1580015966,11,18.44,1.41,69.44,9.91
293,pacific grove,90,US,1580015786,87,36.62,-121.92,60.01,4.7
294,yulara,0,AU,1580015967,9,-25.24,130.99,98.6,8.05
295,cabo san lucas,40,MX,1580015764,82,22.89,-109.91,68.0,4.7
296,berbera,90,SO,1580015967,76,10.44,45.01,78.98,15.14
297,kuzhenkino,75,RU,1580015967,89,57.76,33.95,27.16,9.22
298,conde,20,BR,1580015967,83,-7.26,-34.91,80.6,5.82
299,sinnamary,100,GF,1580015967,83,5.38,-52.95,79.5,18.25
300,menongue,99,AO,1580015967,91,-14.66,17.69,64.89,3.04
301,wanaka,85,NZ,1580015968,61,-44.7,169.15,61.77,8.66
302,hovd,100,MN,1580015968,54,48.01,91.64,14.5,2.17
303,westport,40,US,1580015968,87,41.14,-73.36,45.0,6.93
304,sept-iles,75,CA,1580015834,73,50.2,-66.38,19.4,5.82
305,marang,40,MY,1580015968,78,5.21,103.21,82.4,3.36
306,luderitz,0,NA,1580015393,82,-26.65,15.16,66.2,14.99
307,dickinson,90,US,1580015959,77,29.46,-95.05,64.99,4.7
308,kudahuvadhoo,100,MV,1580015949,78,2.67,72.89,82.08,15.14
309,lavrentiya,0,RU,1580015969,75,65.58,-171.0,-13.41,2.06
310,saint-augustin,58,CA,1580015969,83,51.23,-58.65,15.89,14.61
311,quelimane,87,MZ,1580015969,71,-17.88,36.89,81.0,3.87
312,taihe,71,CN,1580015969,62,30.87,105.38,49.24,4.97
313,dandong,59,CN,1580015969,41,40.13,124.39,34.43,12.93
314,rawson,0,AR,1580015969,52,-43.3,-65.1,67.93,29.84
315,vrangel,0,RU,1580015969,49,42.73,133.08,29.21,20.11
316,nouadhibou,100,MR,1580015970,72,20.93,-17.03,62.6,21.92
317,chernyshevskiy,100,RU,1580015970,97,63.01,112.47,16.41,6.4
318,miechow,90,PL,1580015970,92,50.36,20.03,30.0,4.7
319,mandalgovi,0,MN,1580015393,62,45.76,106.27,22.08,12.8
320,araouane,90,ML,1580015970,11,18.9,-3.53,71.06,7.27
321,harper,20,LR,1580015970,96,4.38,-7.72,75.81,1.12
322,lazaro cardenas,61,MX,1580015970,87,17.96,-102.2,70.84,2.57
323,fairbanks,1,US,1580015760,66,64.84,-147.72,-9.99,5.21
324,comodoro rivadavia,19,AR,1580015971,40,-45.87,-67.5,68.0,14.99
325,el tigre,99,VE,1580015971,79,8.89,-64.25,72.46,10.54
326,kichera,100,RU,1580015971,92,55.94,110.1,13.19,4.03
327,klaksvik,100,FO,1580015971,100,62.23,-6.59,44.6,21.92
328,teya,78,RU,1580015971,82,60.38,92.63,12.29,10.38
329,auki,44,SB,1580015971,66,-8.77,160.7,85.3,3.62
330,salinopolis,100,BR,1580015971,78,-0.61,-47.36,82.31,11.99
331,olinda,40,BR,1580015972,78,-8.01,-34.86,82.4,3.36
332,kayes,77,ML,1580015972,10,14.0,-11.0,70.47,2.28
333,cap malheureux,40,MU,1580015972,78,-19.98,57.61,82.99,14.99
334,nachingwea,100,TZ,1580015972,91,-10.38,38.77,72.57,2.73
335,xai-xai,21,MZ,1580015972,65,-25.05,33.64,80.4,8.88
336,troitskoye,85,RU,1580015972,83,52.98,84.68,17.83,9.1
337,epe,72,NG,1580015972,38,6.58,3.98,66.38,5.1
338,tevaitoa,55,PF,1580015972,73,-16.78,-151.5,83.01,9.46
339,margate,75,GB,1580015972,93,51.38,1.39,46.99,6.93
340,tabou,20,CI,1580015973,96,4.42,-7.35,75.81,1.12
341,novaya ladoga,77,RU,1580015973,90,60.1,32.3,27.7,5.84
342,gejiu,72,CN,1580015973,55,23.31,103.16,53.49,0.96
343,varkkallai,20,IN,1580015973,62,8.73,76.71,86.0,4.7
344,quang ngai,94,VN,1580015973,81,15.12,108.8,77.02,12.77
345,listvyanka,100,RU,1580015973,61,51.85,104.87,12.2,6.71
346,carire,99,BR,1580015973,92,-3.95,-40.47,75.0,0.36
347,tiarei,40,PF,1580015974,74,-17.53,-149.33,84.2,6.93
348,udachnyy,100,RU,1580015974,74,66.42,112.4,-25.6,6.71
349,saryg-sep,23,RU,1580015974,85,51.5,95.6,12.52,1.79
350,sibolga,24,ID,1580015958,84,1.74,98.78,82.92,2.73
351,nioro,67,GM,1580015974,23,13.35,-15.75,72.3,7.25
352,ivanteyevka,75,RU,1580015974,74,55.97,37.92,32.0,11.18
353,kaa-khem,53,RU,1580015974,84,51.68,94.73,3.88,0.22
354,gendringen,90,NL,1580015974,100,51.87,6.38,37.0,6.93
355,emirdag,34,TR,1580015975,51,39.02,31.15,32.34,5.79
356,phan thiet,33,VN,1580015975,51,10.93,108.1,86.16,10.2
357,bata,20,GQ,1580015975,100,1.86,9.77,77.0,3.56
358,yumen,0,CN,1580015975,47,40.28,97.2,26.78,1.92
359,sorland,100,NO,1580015954,65,67.67,12.69,35.44,27.36
360,uzunovo,90,RU,1580015975,87,54.54,38.62,25.95,11.81
361,cardston,5,CA,1580015975,84,49.2,-113.3,34.0,10.29
362,kununurra,63,AU,1580015975,50,-15.77,128.73,95.0,5.82
363,saint george,1,US,1580015721,57,37.1,-113.58,46.99,5.82
364,meulaboh,100,ID,1580015976,76,4.14,96.13,82.9,5.59
365,shenjiamen,100,CN,1580015976,93,29.96,122.3,52.93,24.29
366,alugan,1,PH,1580015976,78,12.22,125.48,82.08,9.57
367,qui nhon,78,VN,1580015960,69,13.77,109.23,83.19,6.71
368,tezu,0,IN,1580015976,30,27.92,96.17,67.91,3.89
369,moanda,40,GA,1580015976,100,-1.56,13.22,71.6,1.34
370,kuminskiy,100,RU,1580015976,94,58.67,66.57,10.11,7.05
371,chlorakas,75,CY,1580015977,81,34.8,32.41,46.4,6.93
372,staryy nadym,88,RU,1580015977,100,65.61,72.68,-9.6,3.29
373,great bend,1,US,1580015977,92,38.36,-98.76,32.0,6.11
374,san rafael,0,AR,1580015977,34,-34.62,-68.33,73.62,0.87
375,elat,0,IL,1580015977,42,29.56,34.95,44.6,9.17
376,valleyview,0,CA,1580015977,89,55.07,-117.29,24.12,3.91
377,port-cartier,75,CA,1580015708,73,50.03,-66.87,19.4,5.82
378,porto velho,40,BR,1580015834,94,-8.76,-63.9,78.8,1.12
379,ahipara,97,NZ,1580015380,68,-35.17,173.17,82.0,1.01
380,buala,2,SB,1580015978,66,-8.14,159.59,85.98,6.35
381,arica,90,CL,1580015978,78,-18.48,-70.3,77.0,5.82
382,waipawa,36,NZ,1580015978,73,-41.41,175.52,71.6,24.16
383,olesnica,100,PL,1580015978,100,51.21,17.39,23.0,2.24
384,pisco,90,PE,1580015978,83,-13.7,-76.22,73.4,16.11
385,roald,100,NO,1580015978,75,62.58,6.13,46.4,11.41
386,broome,90,US,1580015978,94,42.25,-75.83,35.01,4.7
